[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 2135 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 1616 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 6218 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 2966 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 986 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 6016 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 4050 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 2494 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 1654 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 8368 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 6159 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 7288 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 8107 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 1389 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 2920 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 6516 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 311 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 6784 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 7686 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 7802 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 6601 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 7754 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 1143 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 704 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 1053 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 5153 from 1001
[2017-11-28 13:00:40]: Peer 1002 has downloaded the piece 8647 from 1001
